response,sentiment,adoption_stage,main_barrier
"Our team was a bit underprepared technically when we started the pilot, but they've grown into it and the tool is delivering.",positive,piloting,skills
The learning curve was steep but our team got there. Now AI is second nature and adoption keeps growing organically.,positive,scaling,skills
"Not cheap, but not a luxury either. Scaling AI has made us lean and competitive in ways that justify every pound spent.",positive,scaling,cost
We've scaled AI use but recent accuracy issues have made the team lose some confidence in the outputs.,neutral,scaling,trust
We've rolled out AI broadly but the pricing model changed after year one. Reassessing whether to continue at this scale.,neutral,scaling,cost
Pilot is live but we're not ready to trust it without human oversight. Some outputs have been inconsistent.,neutral,piloting,trust
"The pilot requires more hands-on support than I expected, but the value is real. We're upskilling the team to keep momentum.",positive,piloting,skills
AI is clearly the right direction for us. Just need to find a cost model that works — exploring options actively.,positive,exploring,cost
Not pursuing AI for now. It's not that we're against it — the cost-benefit just doesn't add up at our current size.,neutral,not_interested,cost
The monthly spend is significant but the efficiency gains more than offset it. We'd scale further if we could.,positive,scaling,cost
We'd need to completely retrain our team or hire specialists to implement AI. That's not realistic for us.,negative,not_interested,skills
We started exploring AI but quickly realised our team doesn't have the capability to implement or maintain it.,negative,exploring,skills
The pilot confirmed what we suspected — the AI works but it's too expensive for a business our size to sustain.,negative,piloting,cost
AI is clearly the right direction for us. Just need to find a cost model that works — exploring options actively.,positive,exploring,cost
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
Looked at a few platforms. The first quotes we got were so far out of range we stopped exploring entirely.,negative,exploring,cost
Interested but cautious. The tools we've seen are promising; the price tags less so. Still evaluating.,neutral,exploring,cost
We want to adopt AI and are actively exploring. Cost is a factor but we're confident there's a sensible option out there.,positive,exploring,cost
Our customers expect accuracy and consistency. AI can't guarantee that. Sticking with our existing processes.,negative,not_interested,trust
We looked at AI and decided the reliability risks were too high. Not something we're willing to gamble on.,negative,not_interested,trust
"After reading the small print on data usage, we decided we couldn't trust these companies with our business information.",negative,exploring,trust
"Research into AI made us more sceptical, not less. We couldn't find a tool we'd be comfortable trusting with real decisions.",negative,exploring,trust
We were keen to explore AI but the pricing completely put us off. There's a real gap in the market for affordable SME tools.,negative,exploring,cost
The learning curve was steep but our team got there. Now AI is second nature and adoption keeps growing organically.,positive,scaling,skills
We evaluated several AI tools and came away more worried than when we started. The trust just isn't there for us.,negative,not_interested,trust
I've been researching AI solutions for months and I'm genuinely excited. The right tool for our size definitely exists.,positive,exploring,none
Our AI pilot ended badly. We had two incidents where the AI made decisions we would never have approved. Trust destroyed.,negative,piloting,trust
Not going down the AI route. Too many stories of errors and bias. We'd rather keep humans in control.,negative,not_interested,trust
"We ran a pilot and the technology was fine, but the cost-per-outcome made no business sense. We pulled out.",negative,piloting,cost
AI is deployed widely but we've had to renegotiate contracts twice because costs kept creeping up.,neutral,scaling,cost
Very positive on AI. The main thing holding us to the research phase is finding the right price point for our scale.,positive,exploring,cost
Scaling AI has been broadly positive but the financial side needs more active management than we anticipated.,neutral,scaling,cost
"AI handles our scheduling, email triage, and basic customer support. We've grown 40% without adding staff.",positive,scaling,none
We're piloting an AI tool but outputs aren't always reliable enough for our standards. Still evaluating.,neutral,piloting,trust
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
"Not cheap, but not a luxury either. Scaling AI has made us lean and competitive in ways that justify every pound spent.",positive,scaling,cost
AI adoption is on hold pending better evidence of accuracy and reliability. We'll reassess when those questions are answered.,neutral,not_interested,trust
I looked into AI for our business and the setup costs alone would take years to recoup. We've decided against it.,negative,not_interested,cost
Looking into AI but data privacy is a big concern. We handle customer data and can't afford to get it wrong.,neutral,exploring,trust
"We're running an AI pilot but ongoing costs are higher than forecast. Useful, but not sure the numbers stack up.",neutral,piloting,cost
"After reading the small print on data usage, we decided we couldn't trust these companies with our business information.",negative,exploring,trust
"After a year of scaling our AI tools, revenue is up and headcount has stayed flat. Best investment we've made.",positive,scaling,none
"AI is now central to how we run the business — customer queries, stock forecasting, invoicing. The ROI has been outstanding.",positive,scaling,none
Our pilot revealed serious issues with accuracy and data handling. We ended it and have no plans to return to AI.,negative,piloting,trust
We looked at AI but the skills gap in our organisation makes proper implementation impossible. Not the right time.,negative,not_interested,skills
Data security concerns killed our AI interest. We can't have customer data going through third-party AI systems.,negative,not_interested,trust
We've decided to wait on AI. The technology is evolving fast and we'd rather let it mature before committing.,neutral,not_interested,trust
We're piloting an AI tool but outputs aren't always reliable enough for our standards. Still evaluating.,neutral,piloting,trust
AI is part of our stack now but the total spend is higher than we'd like. Looking for ways to optimise without losing capability.,neutral,scaling,cost
We ran a pilot but it failed. Our team couldn't get to grips with the tool despite weeks of training.,negative,piloting,skills
AI is priced for larger businesses. For a team of twelve like ours it's not economically viable.,negative,not_interested,cost
I tried to get buy-in for AI but the honest reality is our team isn't equipped for it. We've decided not to pursue it.,negative,not_interested,skills
We started exploring AI but quickly realised our team doesn't have the capability to implement or maintain it.,negative,exploring,skills
Did some initial research on AI but the technical requirements are way beyond our current team's abilities.,negative,exploring,skills
At the research stage but very enthusiastic. AI could help us genuinely compete with much larger players.,positive,exploring,none
Our team doesn't have the technical background for AI adoption and we can't afford to build that capability. Moving on.,negative,not_interested,skills
We've decided to wait on AI. The technology is evolving fast and we'd rather let it mature before committing.,neutral,not_interested,trust
We evaluated several AI tools and came away more worried than when we started. The trust just isn't there for us.,negative,not_interested,trust
Testing AI at the moment. It mostly works but there are edge cases where the output is just wrong. Keeping humans in the loop.,neutral,piloting,trust
Scaling went okay but we underestimated how much ongoing training would be needed as the tools update and evolve.,neutral,scaling,skills
Exploring AI options but every demo leads to a pricing conversation we're not ready for. Taking our time.,neutral,exploring,cost
AI is live but trust is fragile after two incidents last quarter. We've tightened controls and are monitoring closely.,neutral,scaling,trust
We're enthusiastic about AI but won't rush into something that breaks the budget. Taking time to find the right deal.,positive,exploring,cost
"We're in the pilot phase and the tool has genuine uses, but the subscription model at full scale worries us.",neutral,piloting,cost
The numbers don't add up. Too expensive for the value it would deliver at our scale. We've moved on.,negative,not_interested,cost
Did some initial research on AI but the technical requirements are way beyond our current team's abilities.,negative,exploring,skills
Our AI pilot for customer service has been brilliant — response times halved and satisfaction scores are up.,positive,piloting,none
Began looking into AI last quarter and pulled back fast. The cost of entry is too high for our margin structure.,negative,exploring,cost
Began looking into AI last quarter and pulled back fast. The cost of entry is too high for our margin structure.,negative,exploring,cost
Exploring AI but the skill requirements feel steep. We'd need either training or external help — neither is cheap or quick.,neutral,exploring,skills
AI is deployed but we've had reliability incidents that have made us cautious. Still using it but with more oversight.,neutral,scaling,trust
Did some initial research on AI but the technical requirements are way beyond our current team's abilities.,negative,exploring,skills
AI pilot has started but we underestimated the training investment. Spending more time on internal support than expected.,neutral,piloting,skills
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
AI is in use across the business but the skills gap is a persistent issue. We're managing but it takes resource.,neutral,scaling,skills
Not opposed to AI but the total cost of ownership isn't clear. Not ready to commit until we understand the numbers.,neutral,exploring,cost
We explored AI options but the combination of data privacy concerns and inconsistent accuracy made it a non-starter.,negative,exploring,trust
We explored AI seriously but the skills required to implement it properly aren't something we can realistically build.,negative,exploring,skills
"We ran a pilot and the technology was fine, but the cost-per-outcome made no business sense. We pulled out.",negative,piloting,cost
AI interests us but pricing models are confusing and often don't match what's advertised. Cautiously exploring.,neutral,exploring,cost
"We explored it and walked away. Licensing, integration, and ongoing costs are too much for where we are financially.",negative,not_interested,cost
"We didn't underestimate the skills investment. Because we prepared properly, the scaling has gone really smoothly.",positive,scaling,skills
Interested in AI but worried about vendor lock-in and what happens to our data. Exploring very carefully.,neutral,exploring,trust
We piloted an AI tool and found outputs unreliable. It gave wrong information to customers on multiple occasions.,negative,piloting,trust
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
"Testing an AI tool and it shows promise, but we need a proper training programme before we can roll it out fully.",neutral,piloting,skills
We started exploring AI tools but the liability and accuracy questions were never answered satisfactorily. We stopped.,negative,exploring,trust
"Our pilot was a disappointment — not because the AI was terrible, but because the pricing model was unworkable for us.",negative,piloting,cost
We tried to research AI tools but every solution assumed a level of technical expertise we don't have. Gave up.,negative,exploring,skills
Interested but cautious. The tools we've seen are promising; the price tags less so. Still evaluating.,neutral,exploring,cost
Not interested in AI. We had one experience with a recommendation system that gave dangerous outputs. Not repeating that.,negative,not_interested,trust
"We underestimated how much training the pilot would need, but we committed to it and the results have justified that.",positive,piloting,skills
Pilot is underway. Early signs are mixed — the tool works but the price point feels high given the efficiency gains so far.,neutral,piloting,cost
Our AI pilot ended badly. We had two incidents where the AI made decisions we would never have approved. Trust destroyed.,negative,piloting,trust
Our pilot has shown some value but per-user licensing is expensive at scale. Waiting to negotiate better rates.,neutral,piloting,cost
"Our AI pilot is in progress but adoption has been patchy. Some team members use it well, others are struggling.",neutral,piloting,skills
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
There's still a skills gap on the team but the pilot results are strong enough that we're investing in training to close it.,positive,piloting,skills
"Our pilot ended because the tool requires specialist skills to use properly, and we don't have them and can't hire them.",negative,piloting,skills
We've shortlisted a few AI tools but the price points are giving us pause. Holding off until we have more clarity.,neutral,exploring,cost
Testing AI now. The tool itself is capable but our team needs more hand-holding than we anticipated.,neutral,piloting,skills
We're exploring AI tools seriously but keeping a close eye on cost. Want to find best value before committing.,positive,exploring,cost
AI is clearly the right direction for us. Just need to find a cost model that works — exploring options actively.,positive,exploring,cost
Our pilot gave us a clear answer: the tool isn't affordable at the usage level we'd need to make it worthwhile.,negative,piloting,cost
We're not pursuing AI currently — getting the skills in place would require hiring or retraining we can't prioritise.,neutral,not_interested,skills
AI is deployed widely but we've introduced human-in-the-loop checks after some reliability concerns. Cautiously optimistic.,neutral,scaling,trust
We looked at AI and decided the reliability risks were too high. Not something we're willing to gamble on.,negative,not_interested,trust
Not moving forward with AI for now. We're a small team and don't have the technical depth to make it work properly.,neutral,not_interested,skills
"Our AI pilot is in progress but adoption has been patchy. Some team members use it well, others are struggling.",neutral,piloting,skills
We started exploring AI tools but the liability and accuracy questions were never answered satisfactorily. We stopped.,negative,exploring,trust
"Our AI pilot is in progress but adoption has been patchy. Some team members use it well, others are struggling.",neutral,piloting,skills
"Tried to research AI options. Every credible solution was priced for enterprise, not small businesses like us.",negative,exploring,cost
"After a year of scaling our AI tools, revenue is up and headcount has stayed flat. Best investment we've made.",positive,scaling,none
We're piloting an AI tool but we've hit a learning curve. It's not as intuitive as the vendor suggested.,neutral,piloting,skills
We tested an AI system but it kept producing factually incorrect outputs. Had to pull the plug.,negative,piloting,trust
We attended an AI summit last month and came away energised. We're actively evaluating tools and demos lined up.,positive,exploring,none
We stretched the budget to scale AI properly and it's paid off. The ongoing costs are just part of our operating model now.,positive,scaling,cost
Interested in AI and actively looking — just need to find an option that fits our budget without sacrificing quality.,positive,exploring,cost
Began looking into AI last quarter and pulled back fast. The cost of entry is too high for our margin structure.,negative,exploring,cost
We started looking into AI but stopped when we saw the pricing. Just not accessible for small businesses like ours.,negative,exploring,cost
AI is deployed widely but we've had to renegotiate contracts twice because costs kept creeping up.,neutral,scaling,cost
On the fence about AI. The technology seems impressive but we've had one bad experience with automation before.,neutral,exploring,trust
"We've expanded AI use significantly but training is an ongoing burden. It's worth it, but it's a real commitment.",neutral,scaling,skills
The monthly spend is significant but the efficiency gains more than offset it. We'd scale further if we could.,positive,scaling,cost
Started down the AI exploration path but the skills barrier was obvious very quickly. We don't have what's needed.,negative,exploring,skills
We're optimistic about AI but want to be smart about the investment. Exploring options to find the most affordable entry point.,positive,exploring,cost
"Not cheap, but not a luxury either. Scaling AI has made us lean and competitive in ways that justify every pound spent.",positive,scaling,cost
"We're testing it and it's fine, but fine isn't worth the price tag. Need to see more compelling results before committing.",neutral,piloting,cost
AI is not something we're pursuing currently — we're not confident enough in the outputs to use it in customer-facing processes.,neutral,not_interested,trust
Interested in AI but feel we'd need to hire someone technical to make it work. That changes the cost-benefit calculation.,neutral,exploring,skills
AI is deployed widely but we've had to renegotiate contracts twice because costs kept creeping up.,neutral,scaling,cost
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
"AI handles our scheduling, email triage, and basic customer support. We've grown 40% without adding staff.",positive,scaling,none
Data security concerns killed our AI interest. We can't have customer data going through third-party AI systems.,negative,not_interested,trust
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
We paired the rollout with structured training and it made a huge difference. People who were sceptical are now evangelists.,positive,scaling,skills
"The pilot requires more hands-on support than I expected, but the value is real. We're upskilling the team to keep momentum.",positive,piloting,skills
I tried to get buy-in for AI but the honest reality is our team isn't equipped for it. We've decided not to pursue it.,negative,not_interested,skills
We've scaled AI across the business but the cumulative cost is now significant. Still valuable but watching the budget closely.,neutral,scaling,cost
"Not cheap, but not a luxury either. Scaling AI has made us lean and competitive in ways that justify every pound spent.",positive,scaling,cost
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
Our customers expect accuracy and consistency. AI can't guarantee that. Sticking with our existing processes.,negative,not_interested,trust
The price tags for AI tools are completely out of range for us. We've parked the idea indefinitely.,negative,not_interested,cost
We did some research on AI tools and came away deeply sceptical. The accuracy claims don't match what we've heard.,negative,exploring,trust
"AI is scaled but the capability isn't evenly distributed. Some staff are excellent, others need significant ongoing support.",neutral,scaling,skills
AI is live across most departments but we're concerned about sustainability. The value is real but so is the monthly spend.,neutral,scaling,cost
We've scaled successfully but remain guarded. The outputs are usually good; it's the exceptions that concern us.,neutral,scaling,trust
On the fence. The tools look useful but we'd need clearer ROI data before spending that kind of money.,neutral,exploring,cost
Our AI rollout has gone better than expected. The whole team is bought in and we keep finding new applications.,positive,scaling,none
AI is deployed across the business but usage is inconsistent. Skills vary a lot between departments.,neutral,scaling,skills
Just starting to explore AI but the potential is clear. Taking our time to find the right fit.,positive,exploring,none
I tried to get buy-in for AI but the honest reality is our team isn't equipped for it. We've decided not to pursue it.,negative,not_interested,skills
"Our AI pilot is in progress but adoption has been patchy. Some team members use it well, others are struggling.",neutral,piloting,skills
We've been testing an AI scheduling tool and the efficiency gains are clear. The team is enthusiastic about expanding it.,positive,piloting,none
We evaluated AI options and put it on hold. The financial case isn't there yet for a business at our stage.,neutral,not_interested,cost
"The pilot requires more hands-on support than I expected, but the value is real. We're upskilling the team to keep momentum.",positive,piloting,skills
The pilot is useful in controlled conditions but we've had enough unexpected outputs to be cautious about full deployment.,neutral,piloting,trust
We're piloting an AI tool but outputs aren't always reliable enough for our standards. Still evaluating.,neutral,piloting,trust
The price tags for AI tools are completely out of range for us. We've parked the idea indefinitely.,negative,not_interested,cost
AI is embedded in our ops but there have been a few customer-facing errors that prompted us to review our governance.,neutral,scaling,trust
We're piloting an AI tool but outputs aren't always reliable enough for our standards. Still evaluating.,neutral,piloting,trust
No interest in AI adoption right now. We don't have the in-house technical knowledge and outsourcing it feels risky.,negative,not_interested,skills
We tried to explore AI options but every path led to a price that stopped us cold. It's for bigger companies.,negative,exploring,cost
Looking into AI but data privacy is a big concern. We handle customer data and can't afford to get it wrong.,neutral,exploring,trust
We're running a pilot and results are mixed. The staff who get it see real value; the others find it frustrating.,neutral,piloting,skills
We invested in training alongside the AI rollout and it's paid off. The team is confident and the tools keep improving.,positive,scaling,skills
The learning curve was steep but our team got there. Now AI is second nature and adoption keeps growing organically.,positive,scaling,skills
We stretched the budget to scale AI properly and it's paid off. The ongoing costs are just part of our operating model now.,positive,scaling,cost
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
"We didn't underestimate the skills investment. Because we prepared properly, the scaling has gone really smoothly.",positive,scaling,skills
We've rolled out AI broadly but the pricing model changed after year one. Reassessing whether to continue at this scale.,neutral,scaling,cost
"Explored AI options but concluded that without dedicated technical staff, we'd be setting ourselves up to fail.",negative,exploring,skills
We trialled an AI tool for two months and terminated it. The ongoing costs weren't sustainable.,negative,piloting,cost
"We're exploring AI but the more we read about errors and biases, the more cautious we feel. Not ready to commit.",neutral,exploring,trust
"Our team was a bit underprepared technically when we started the pilot, but they've grown into it and the tool is delivering.",positive,piloting,skills
"We ran a pilot and the technology was fine, but the cost-per-outcome made no business sense. We pulled out.",negative,piloting,cost
Our AI pilot showed some promise but costs escalated quickly. We couldn't see a path to affordability.,negative,piloting,cost
AI is live everywhere but we're struggling to maintain the skills needed to keep it running well. High turnover doesn't help.,neutral,scaling,skills
"Our pilot was a disappointment — not because the AI was terrible, but because the pricing model was unworkable for us.",negative,piloting,cost
We're exploring AI tools seriously but keeping a close eye on cost. Want to find best value before committing.,positive,exploring,cost
The pilot was a wake-up call. The AI performed well on demos but fell apart on real data. Not safe to use.,negative,piloting,trust
We tried to research AI tools but every solution assumed a level of technical expertise we don't have. Gave up.,negative,exploring,skills
"We considered AI but between the technical setup and staff training, the human cost ruled it out for us.",negative,not_interested,skills
We paired the rollout with structured training and it made a huge difference. People who were sceptical are now evangelists.,positive,scaling,skills
We looked at AI but the skills gap in our organisation makes proper implementation impossible. Not the right time.,negative,not_interested,skills
We started exploring AI but quickly realised our team doesn't have the capability to implement or maintain it.,negative,exploring,skills
We stretched the budget to scale AI properly and it's paid off. The ongoing costs are just part of our operating model now.,positive,scaling,cost
We're enthusiastic about AI but won't rush into something that breaks the budget. Taking time to find the right deal.,positive,exploring,cost
"We've scaled AI but we're battling an adoption gap — some teams use it brilliantly, others barely touch it.",neutral,scaling,skills
We're not interested in AI right now — data privacy regulations are still catching up with the technology and we're cautious.,neutral,not_interested,trust
"We didn't underestimate the skills investment. Because we prepared properly, the scaling has gone really smoothly.",positive,scaling,skills
The monthly spend is significant but the efficiency gains more than offset it. We'd scale further if we could.,positive,scaling,cost
Exploring AI but the skill requirements feel steep. We'd need either training or external help — neither is cheap or quick.,neutral,exploring,skills
AI is live everywhere but we're struggling to maintain the skills needed to keep it running well. High turnover doesn't help.,neutral,scaling,skills
We explored AI briefly but the financial reality killed the idea quickly. The industry hasn't made this accessible yet.,negative,exploring,cost
We're piloting an AI tool but we've hit a learning curve. It's not as intuitive as the vendor suggested.,neutral,piloting,skills
We've expanded AI use significantly but need to be more disciplined about which use cases actually justify the cost.,neutral,scaling,cost
Building internal AI literacy took time but was worth every hour. Now the team spots opportunities we'd never have seen.,positive,scaling,skills
AI is interesting but reliability worries us. We've seen too many examples of AI getting it wrong in ways that matter.,neutral,exploring,trust
"Really keen on AI adoption, but we need the pricing to make sense for a business our size. Still looking.",positive,exploring,cost
AI is deployed across the business but usage is inconsistent. Skills vary a lot between departments.,neutral,scaling,skills
Running AI at scale but data governance has become a bigger issue than we anticipated. Working through it.,neutral,scaling,trust
We like the idea of AI but the setup and management looks complex. Not sure we have the internal expertise.,neutral,exploring,skills
"We didn't underestimate the skills investment. Because we prepared properly, the scaling has gone really smoothly.",positive,scaling,skills
We haven't committed yet but everything we're seeing makes us want to move faster on this.,positive,exploring,none
AI is part of our stack now but the total spend is higher than we'd like. Looking for ways to optimise without losing capability.,neutral,scaling,cost
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
"After reading the small print on data usage, we decided we couldn't trust these companies with our business information.",negative,exploring,trust
"AI handles our scheduling, email triage, and basic customer support. We've grown 40% without adding staff.",positive,scaling,none
We had a thorough cost-benefit analysis before scaling and the numbers stacked up. Still happy with that decision.,positive,scaling,cost
Piloting an AI content tool and it's been genuinely impressive. Our marketing output has doubled in quality and speed.,positive,piloting,none
AI is live but trust is fragile after two incidents last quarter. We've tightened controls and are monitoring closely.,neutral,scaling,trust
Testing AI at the moment. It mostly works but there are edge cases where the output is just wrong. Keeping humans in the loop.,neutral,piloting,trust
We've shortlisted a few AI tools but the price points are giving us pause. Holding off until we have more clarity.,neutral,exploring,cost
We had a thorough cost-benefit analysis before scaling and the numbers stacked up. Still happy with that decision.,positive,scaling,cost
"Cost was our biggest concern when we started expanding AI. A year on, the numbers speak for themselves.",positive,scaling,cost
"We've scaled but the cost base has grown with it. Worth it so far, but we're monitoring closely.",neutral,scaling,cost
We're exploring AI tools seriously but keeping a close eye on cost. Want to find best value before committing.,positive,exploring,cost
AI adoption is paused. The skills requirements are real and we're not in a position to address them right now.,neutral,not_interested,skills
We've shortlisted a few AI tools but the price points are giving us pause. Holding off until we have more clarity.,neutral,exploring,cost
The pilot confirmed what we suspected — the AI works but it's too expensive for a business our size to sustain.,negative,piloting,cost
"We're in the pilot phase and the tool has genuine uses, but the subscription model at full scale worries us.",neutral,piloting,cost
Pilot is underway. Early signs are mixed — the tool works but the price point feels high given the efficiency gains so far.,neutral,piloting,cost
Our AI rollout has gone better than expected. The whole team is bought in and we keep finding new applications.,positive,scaling,none
We trialled an AI tool for two months and terminated it. The ongoing costs weren't sustainable.,negative,piloting,cost
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
We looked at AI and decided the skills investment was too large for us at this stage. Revisiting next year maybe.,neutral,not_interested,skills
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
"Not cheap, but not a luxury either. Scaling AI has made us lean and competitive in ways that justify every pound spent.",positive,scaling,cost
We tried to research AI tools but every solution assumed a level of technical expertise we don't have. Gave up.,negative,exploring,skills
We decided against AI. The data privacy implications are too significant for us to be comfortable.,negative,not_interested,trust
Pilot is live but momentum is slow. The AI works but half the team doesn't feel confident enough to use it independently.,neutral,piloting,skills
Our AI pilot was unsuccessful. The technology needed more technical management than we could provide.,negative,piloting,skills
Pilot is going okay but every vendor conversation circles back to upselling. Cost is becoming a sticking point.,neutral,piloting,cost
Not pursuing AI for now. It's not that we're against it — the cost-benefit just doesn't add up at our current size.,neutral,not_interested,cost
Running AI at scale but data governance has become a bigger issue than we anticipated. Working through it.,neutral,scaling,trust
"We tried an AI pilot but the knowledge gap in our team was too large. Despite real effort, adoption just didn't happen.",negative,piloting,skills
"Explored AI options but concluded that without dedicated technical staff, we'd be setting ourselves up to fail.",negative,exploring,skills
"We've looked at AI and the costs just don't make sense for us right now. Not ruling it out long term, but not now.",neutral,not_interested,cost
AI is not something we're pursuing currently — we're not confident enough in the outputs to use it in customer-facing processes.,neutral,not_interested,trust
We're open to AI in principle but not ready to adopt it yet. Need to see stronger reliability evidence first.,neutral,not_interested,trust
"Explored AI options but concluded that without dedicated technical staff, we'd be setting ourselves up to fail.",negative,exploring,skills
Our pilot gave us a clear answer: the tool isn't affordable at the usage level we'd need to make it worthwhile.,negative,piloting,cost
Pilot is live but momentum is slow. The AI works but half the team doesn't feel confident enough to use it independently.,neutral,piloting,skills
Our AI pilot ended badly. We had two incidents where the AI made decisions we would never have approved. Trust destroyed.,negative,piloting,trust
Testing AI currently — it does what it says but the cost per use case is hard to justify for a business our size.,neutral,piloting,cost
Our pilot gave us a clear answer: the tool isn't affordable at the usage level we'd need to make it worthwhile.,negative,piloting,cost
The monthly spend is significant but the efficiency gains more than offset it. We'd scale further if we could.,positive,scaling,cost
Not pursuing AI currently — more interested in seeing how the regulatory and reliability landscape develops first.,neutral,not_interested,trust
We've expanded AI use significantly but need to be more disciplined about which use cases actually justify the cost.,neutral,scaling,cost
"We considered AI but between the technical setup and staff training, the human cost ruled it out for us.",negative,not_interested,skills
"The pilot requires more hands-on support than I expected, but the value is real. We're upskilling the team to keep momentum.",positive,piloting,skills
"Running a pilot now. The AI does what we need but when I work out the annual cost, the ROI is marginal at best.",neutral,piloting,cost
Not moving ahead with AI at this stage. We want more proven track record before trusting it with business-critical tasks.,neutral,not_interested,trust
I tried to get buy-in for AI but the honest reality is our team isn't equipped for it. We've decided not to pursue it.,negative,not_interested,skills
Not pursuing AI currently — more interested in seeing how the regulatory and reliability landscape develops first.,neutral,not_interested,trust
Not pursuing AI for now. It's not that we're against it — the cost-benefit just doesn't add up at our current size.,neutral,not_interested,cost
AI is in use across the business but the skills gap is a persistent issue. We're managing but it takes resource.,neutral,scaling,skills
Exciting time to be exploring AI. We've shortlisted three vendors and are doing demos next month.,positive,exploring,none
Started down the AI exploration path but the skills barrier was obvious very quickly. We don't have what's needed.,negative,exploring,skills
Six weeks into an AI analytics pilot and we've already uncovered insights that changed how we think about our market.,positive,piloting,none
